dataset,split_id,split_method,metric,score,model
clintox,train,random,roc_auc_score,0.5432692307692307,GradientBoostingClassifier
clintox,validate,random,roc_auc_score,0.5625,GradientBoostingClassifier
clintox,train,random,log_loss,2.612407450252003,GradientBoostingClassifier
clintox,validate,random,log_loss,1.089060516956644,GradientBoostingClassifier
clintox,train,random,matthews_corrcoef,0.28274673450269733,GradientBoostingClassifier
clintox,validate,random,matthews_corrcoef,0.34790907430232465,GradientBoostingClassifier
clintox,train,random,accuracy_score,0.9171974522292994,DummyClassifier
clintox,validate,random,accuracy_score,0.963963963963964,DummyClassifier
clintox,train,random,f1_score,0.0,DummyClassifier
clintox,validate,random,f1_score,0.0,DummyClassifier
clintox,train,random,roc_auc_score,0.5,DummyClassifier
clintox,validate,random,roc_auc_score,0.5,DummyClassifier
clintox,train,random,log_loss,2.85989868238114,DummyClassifier
clintox,validate,random,log_loss,1.2446405908075933,DummyClassifier
clintox,train,random,matthews_corrcoef,0.0,DummyClassifier
clintox,validate,random,matthews_corrcoef,0.0,DummyClassifier
lipophilicity,train,random,accuracy_score,0.9994397759103641,SVC
lipophilicity,validate,random,accuracy_score,0.9444444444444444,SVC
lipophilicity,train,random,f1_score,0.9997099767981439,SVC
lipophilicity,validate,random,f1_score,0.9711459192085738,SVC
lipophilicity,train,random,roc_auc_score,0.9918699186991871,SVC
lipophilicity,validate,random,roc_auc_score,0.6207386363636364,SVC
lipophilicity,train,random,log_loss,0.01934990251671858,SVC
lipophilicity,validate,random,log_loss,1.9188412180646945,SVC
lipophilicity,train,random,matthews_corrcoef,0.9915489842095742,SVC
lipophilicity,validate,random,matthews_corrcoef,0.22708670072657722,SVC
lipophilicity,train,random,accuracy_score,0.9941176470588236,LogisticRegression
lipophilicity,validate,random,accuracy_score,0.9666666666666667,LogisticRegression
lipophilicity,train,random,f1_score,0.9969622450455664,LogisticRegression
lipophilicity,validate,random,f1_score,0.9828850855745721,LogisticRegression
lipophilicity,train,random,roc_auc_score,0.9185541333220122,LogisticRegression
lipophilicity,validate,random,roc_auc_score,0.6322517942583732,LogisticRegression
lipophilicity,train,random,log_loss,0.20317375244866434,LogisticRegression
lipophilicity,validate,random,log_loss,1.1513128537333461,LogisticRegression
lipophilicity,train,random,matthews_corrcoef,0.9078704472574299,LogisticRegression
lipophilicity,validate,random,matthews_corrcoef,0.37072598814545255,LogisticRegression
lipophilicity,train,random,accuracy_score,0.9997198879551821,RandomForestClassifier
lipophilicity,validate,random,accuracy_score,0.9666666666666667,RandomForestClassifier
lipophilicity,train,random,f1_score,0.9998549673676578,RandomForestClassifier
lipophilicity,validate,random,f1_score,0.982995951417004,RandomForestClassifier
lipophilicity,train,random,roc_auc_score,0.9959349593495934,RandomForestClassifier
lipophilicity,validate,random,roc_auc_score,0.5446321770334928,RandomForestClassifier
lipophilicity,train,random,log_loss,0.00967495125835979,RandomForestClassifier
lipophilicity,validate,random,log_loss,1.1513179305424266,RandomForestClassifier
lipophilicity,train,random,matthews_corrcoef,0.9957822319209864,RandomForestClassifier
lipophilicity,validate,random,matthews_corrcoef,0.23803827751196172,RandomForestClassifier
lipophilicity,train,random,accuracy_score,0.9742296918767507,KNeighborsClassifier
lipophilicity,validate,random,accuracy_score,0.9603174603174603,KNeighborsClassifier
lipophilicity,train,random,f1_score,0.9867702041990221,KNeighborsClassifier
lipophilicity,validate,random,f1_score,0.9797242497972426,KNeighborsClassifier
lipophilicity,train,random,roc_auc_score,0.6887360518513801,KNeighborsClassifier
lipophilicity,validate,random,roc_auc_score,0.5194377990430622,KNeighborsClassifier
lipophilicity,train,random,log_loss,0.8900919321390702,KNeighborsClassifier
lipophilicity,validate,random,log_loss,1.370613018125082,KNeighborsClassifier
lipophilicity,train,random,matthews_corrcoef,0.522901516394993,KNeighborsClassifier
lipophilicity,validate,random,matthews_corrcoef,0.08042946923566698,KNeighborsClassifier
lipophilicity,train,random,accuracy_score,0.9661064425770308,GradientBoostingClassifier
lipophilicity,validate,random,accuracy_score,0.9634920634920635,GradientBoostingClassifier
lipophilicity,train,random,f1_score,0.9827463282475403,GradientBoostingClassifier
lipophilicity,validate,random,f1_score,0.9814066289409862,GradientBoostingClassifier
lipophilicity,train,random,roc_auc_score,0.5120500682813617,GradientBoostingClassifier
lipophilicity,validate,random,roc_auc_score,0.49917763157894735,GradientBoostingClassifier
lipophilicity,train,random,log_loss,1.1706688782845431,GradientBoostingClassifier
lipophilicity,validate,random,log_loss,1.2609673781371595,GradientBoostingClassifier
lipophilicity,train,random,matthews_corrcoef,0.13139294165834134,GradientBoostingClassifier
lipophilicity,validate,random,matthews_corrcoef,-0.007584627005627403,GradientBoostingClassifier
lipophilicity,train,random,accuracy_score,0.965546218487395,DummyClassifier
lipophilicity,validate,random,accuracy_score,0.9650793650793651,DummyClassifier
lipophilicity,train,random,f1_score,0.9824711415134673,DummyClassifier
lipophilicity,validate,random,f1_score,0.9822294022617124,DummyClassifier
lipophilicity,train,random,roc_auc_score,0.5,DummyClassifier
lipophilicity,validate,random,roc_auc_score,0.5,DummyClassifier
lipophilicity,train,random,log_loss,1.1900190047781318,DummyClassifier
lipophilicity,validate,random,log_loss,1.2061439235420632,DummyClassifier
lipophilicity,train,random,matthews_corrcoef,0.0,DummyClassifier
lipophilicity,validate,random,matthews_corrcoef,0.0,DummyClassifier
HIV,train,random,accuracy_score,0.972051377406528,SVC
HIV,validate,random,accuracy_score,0.9685575364667747,SVC
HIV,train,random,f1_score,0.3601833660772757,SVC
HIV,validate,random,f1_score,0.32638888888888895,SVC
HIV,train,random,roc_auc_score,0.6127774368827976,SVC
HIV,validate,random,roc_auc_score,0.6012479871175522,SVC
HIV,train,random,log_loss,0.965312118377651,SVC
HIV,validate,random,log_loss,1.0859856428175703,SVC
HIV,train,random,matthews_corrcoef,0.4375304935250111,SVC
HIV,validate,random,matthews_corrcoef,0.39752812884158906,SVC
HIV,train,random,accuracy_score,0.9738535915553395,LogisticRegression
HIV,validate,random,accuracy_score,0.9675850891410048,LogisticRegression
HIV,train,random,f1_score,0.4540023894862604,LogisticRegression
HIV,validate,random,f1_score,0.36305732484076436,LogisticRegression
HIV,train,random,roc_auc_score,0.6554362252107621,LogisticRegression
HIV,validate,random,roc_auc_score,0.6216403162055336,LogisticRegression
HIV,train,random,log_loss,0.9030668075733113,LogisticRegression
HIV,validate,random,log_loss,1.1195748570685182,LogisticRegression
HIV,train,random,matthews_corrcoef,0.4987421645926333,LogisticRegression
HIV,validate,random,matthews_corrcoef,0.39770317630786806,LogisticRegression
HIV,train,random,accuracy_score,0.9996567211145121,RandomForestClassifier
HIV,validate,random,accuracy_score,0.9703403565640194,RandomForestClassifier
HIV,train,random,f1_score,0.9950413223140495,RandomForestClassifier
HIV,validate,random,f1_score,0.4227129337539432,RandomForestClassifier
HIV,train,random,roc_auc_score,0.996245737265447,RandomForestClassifier
HIV,validate,random,roc_auc_score,0.6439686722295418,RandomForestClassifier
HIV,train,random,log_loss,0.011856501288189882,RandomForestClassifier
HIV,validate,random,log_loss,1.0244103844760557,RandomForestClassifier
HIV,train,random,matthews_corrcoef,0.9948668108567698,RandomForestClassifier
HIV,validate,random,matthews_corrcoef,0.4626329923563839,RandomForestClassifier
HIV,train,random,accuracy_score,0.9767714620819864,KNeighborsClassifier
HIV,validate,random,accuracy_score,0.9709886547811993,KNeighborsClassifier
HIV,train,random,f1_score,0.5739769150052466,KNeighborsClassifier
HIV,validate,random,f1_score,0.47507331378299117,KNeighborsClassifier
HIV,train,random,roc_auc_score,0.7233106837692033,KNeighborsClassifier
HIV,validate,random,roc_auc_score,0.6735617039964866,KNeighborsClassifier
HIV,train,random,log_loss,0.8022886166974372,KNeighborsClassifier
HIV,validate,random,log_loss,1.002020253259631,KNeighborsClassifier
HIV,train,random,matthews_corrcoef,0.5863845656809693,KNeighborsClassifier
HIV,validate,random,matthews_corrcoef,0.49474233657018435,KNeighborsClassifier
HIV,train,random,accuracy_score,0.9668163744028377,GradientBoostingClassifier
HIV,validate,random,accuracy_score,0.9648298217179903,GradientBoostingClassifier
HIV,train,random,f1_score,0.1035548686244204,GradientBoostingClassifier
HIV,validate,random,f1_score,0.12145748987854252,GradientBoostingClassifier
HIV,train,random,roc_auc_score,0.5274100330425449,GradientBoostingClassifier
