dataset,split_method,split_id,model,metric,score
sol_del,cluster,train,GradientBoostingClassifier,f1_score,0.20481927710843373
sol_del,cluster,validate,GradientBoostingClassifier,f1_score,0.0
sol_del,cluster,train,GradientBoostingClassifier,roc_auc_score,0.9081534650962948
sol_del,cluster,validate,GradientBoostingClassifier,roc_auc_score,0.7646942800788954
sol_del,cluster,train,GradientBoostingClassifier,log_loss,0.2974006496933851
sol_del,cluster,validate,GradientBoostingClassifier,log_loss,0.4596189087187318
sol_del,cluster,train,GradientBoostingClassifier,matthews_corrcoef,0.2834549093962313
sol_del,cluster,validate,GradientBoostingClassifier,matthews_corrcoef,-0.05994008985026203
sol_del,cluster,N/A,GradientBoostingClassifier,fit_time,0:00:00.575043
sol_del,cluster,train,DummyClassifier,accuracy_score,0.8477580813347236
sol_del,cluster,validate,DummyClassifier,accuracy_score,0.7692307692307693
sol_del,cluster,train,DummyClassifier,balanced_accuracy_score,0.5
sol_del,cluster,validate,DummyClassifier,balanced_accuracy_score,0.5
sol_del,cluster,train,DummyClassifier,f1_score,0.0
sol_del,cluster,validate,DummyClassifier,f1_score,0.0
sol_del,cluster,train,DummyClassifier,roc_auc_score,0.5
sol_del,cluster,validate,DummyClassifier,roc_auc_score,0.5
sol_del,cluster,train,DummyClassifier,log_loss,5.258249586712159
sol_del,cluster,validate,DummyClassifier,log_loss,7.970486860364004
sol_del,cluster,train,DummyClassifier,matthews_corrcoef,0.0
sol_del,cluster,validate,DummyClassifier,matthews_corrcoef,0.0
